,Mobile,Price,Ratings
382,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
383,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
384,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
385,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
386,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
387,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
388,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
389,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
390,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
391,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
392,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
393,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
394,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
395,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
396,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
397,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
